country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Connecticut,,5/14/2020,-29,-11,74,-40,-46,18
US,United States,Connecticut,,5/15/2020,-31,-13,61,-45,-45,20
US,United States,Connecticut,,5/16/2020,-29,-11,193,-36,-26,8
US,United States,Connecticut,,5/17/2020,-29,-15,94,-44,-24,8
US,United States,Connecticut,,5/18/2020,-26,-12,40,-43,-44,17
US,United States,Connecticut,,5/19/2020,-25,-8,53,-39,-44,17
US,United States,Connecticut,,5/20/2020,-21,-7,74,-34,-44,17
US,United States,Connecticut,,5/21/2020,-22,-6,84,-34,-44,17
US,United States,Connecticut,,5/22/2020,-23,-6,92,-35,-43,17
US,United States,Connecticut,,5/23/2020,-32,-10,43,-39,-25,11
US,United States,Connecticut,,5/24/2020,-20,-6,137,-33,-20,5
US,United States,Connecticut,,5/25/2020,-29,-14,94,-50,-74,23
