,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,New Jersey,,5/14/2020,-44,-12,66,-58,-53,23
US,United States,New Jersey,,5/15/2020,-45,-12,81,-57,-52,23
US,United States,New Jersey,,5/16/2020,-45,-11,146,-49,-31,11
US,United States,New Jersey,,5/17/2020,-46,-17,100,-57,-29,11
US,United States,New Jersey,,5/18/2020,-42,-14,42,-59,-51,21
US,United States,New Jersey,,5/19/2020,-42,-10,41,-57,-51,22
US,United States,New Jersey,,5/20/2020,-41,-9,55,-56,-51,21
US,United States,New Jersey,,5/21/2020,-39,-6,86,-54,-51,21
US,United States,New Jersey,,5/22/2020,-44,-9,41,-56,-50,23
US,United States,New Jersey,,5/23/2020,-50,-15,16,-56,-29,14
US,United States,New Jersey,,5/24/2020,-43,-11,138,-52,-27,8
US,United States,New Jersey,,5/25/2020,-44,-15,156,-65,-76,26
