country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,,,4/5/2020,-49,-20,-20,-54,-40,13
US,United States,,,4/6/2020,-42,-16,-10,-52,-50,20
US,United States,,,4/7/2020,-42,-14,-2,-51,-51,21
US,United States,,,4/8/2020,-42,-15,-6,-51,-51,21
US,United States,,,4/9/2020,-43,-13,-21,-54,-52,22
US,United States,,,4/10/2020,-43,-13,-21,-54,-56,24
US,United States,,,4/11/2020,-45,-7,-16,-49,-38,14
US,United States,,,4/12/2020,-63,-39,-36,-56,-45,13
US,United States,,,4/13/2020,-45,-22,-31,-55,-51,21
US,United States,,,4/14/2020,-40,-16,-15,-50,-50,20
US,United States,,,4/15/2020,-36,-13,-16,-49,-49,20
US,United States,,,4/16/2020,-39,-13,-14,-50,-49,21
US,United States,,,4/17/2020,-42,-17,-22,-51,-48,22
US,United States,,,4/18/2020,-45,-15,-20,-47,-33,14
US,United States,,,4/19/2020,-45,-19,-10,-50,-37,11
US,United States,,,4/20/2020,-39,-16,-7,-49,-48,19
US,United States,,,4/21/2020,-38,-14,-8,-49,-49,20
US,United States,,,4/22/2020,-38,-14,-9,-48,-49,20
US,United States,,,4/23/2020,-40,-14,-14,-50,-49,21
US,United States,,,4/24/2020,-40,-16,-14,-50,-48,21
US,United States,,,4/25/2020,-41,-11,2,-42,-32,12
US,United States,,,4/26/2020,-42,-16,-11,-48,-36,11
US,United States,,,4/27/2020,-35,-13,-4,-48,-46,18
US,United States,,,4/28/2020,-34,-10,6,-45,-48,12
US,United States,,,4/29/2020,-34,-11,-7,-46,-47,19
US,United States,,,4/30/2020,-34,-9,-7,-47,-47,19
US,United States,,,5/1/2020,-32,-7,7,-43,-45,18
US,United States,,,5/2/2020,-34,-4,28,-35,-29,10
US,United States,,,5/3/2020,-34,-8,22,-40,-31,8
US,United States,,,5/4/2020,-29,-7,5,-44,-44,16
US,United States,,,5/5/2020,-28,-3,5,-43,-45,17
US,United States,,,5/6/2020,-29,-6,6,-43,-44,17
US,United States,,,5/7/2020,-29,-3,21,-42,-44,17
US,United States,,,5/8/2020,-32,-5,-2,-43,-43,18
US,United States,,,5/9/2020,-30,7,9,-35,-26,9
US,United States,,,5/10/2020,-30,1,6,-37,-27,7
US,United States,,,5/11/2020,-31,-11,-3,-44,-42,16
US,United States,,,5/12/2020,-28,-6,10,-41,-43,16
US,United States,,,5/13/2020,-26,-5,18,-40,-42,16
US,United States,,,5/14/2020,-28,-5,17,-42,-43,17
US,United States,,,5/15/2020,-29,-7,21,-40,-42,16
US,United States,,,5/16/2020,-30,-3,32,-34,-24,9
US,United States,,,5/17/2020,-30,-8,17,-39,-25,8
US,United States,,,5/18/2020,-26,-8,2,-43,-40,15
US,United States,,,5/19/2020,-24,-4,15,-40,-41,15
US,United States,,,5/20/2020,-22,-3,23,-38,-41,15
US,United States,,,5/21/2020,-22,-1,31,-37,-41,15
US,United States,,,5/22/2020,-24,-2,31,-36,-41,15
US,United States,,,5/23/2020,-27,0,43,-30,-21,7
US,United States,,,5/24/2020,-25,-2,57,-33,-24,5
US,United States,,,5/25/2020,-28,-8,60,-48,-72,20
